Age,SupportCallsLastYear,AverageBill,ChurnIndicator
44,0,84,0.002
18,4,109,0.014
77,0,98,0
65,0,101,0.01
3,7,18,0.125
54,1,102,0.002
68,0,28,0.029
2,0,18,0.013
78,0,53,0.001
70,2,86,0.034
58,0,56,0.005
80,0,19,0.013
79,8,98,0.025
17,1,92,0.009
8,0,89,0.008
73,10,95,0.047
4,1,26,0.067
65,2,69,0.008
60,1,70,0.02
11,0,20,0.005
27,0,67,0.004
77,4,34,0.045
15,0,38,0.017
66,0,88,0.002
22,2,49,0.004
0,2,65,0.018
20,0,24,0.022
71,0,77,0.004
29,1,75,0.035
5,1,80,0.003
47,7,39,0.04
20,0,79,0.003
59,0,50,0.018
46,0,74,0.016
57,6,31,0.023
17,1,30,0.001
78,9,69,0.002
27,1,47,0.005
16,0,90,0.004
20,0,35,0.004
51,2,97,0.023
46,0,74,0.007
30,1,94,0.021
21,3,65,0.038
68,7,94,0.006
42,0,27,0.016
25,0,109,0.003
2,4,41,0.061
29,0,31,0.03
58,0,62,0.005
62,6,47,0.004
29,0,80,0.007
10,0,69,0.007
12,0,25,0.013
10,0,59,0.009
37,4,94,0.073
29,7,30,0.212
17,1,13,0.061
5,9,23,0.435
52,0,71,0.001
7,9,49,0.211
55,0,66,0.001
78,1,43,0.012
15,1,58,0.014
19,0,39,0.004
46,1,20,0.034
32,0,106,0.005
79,1,73,0.006
40,9,12,0.044
48,2,12,0.247
53,1,71,0.004
1,6,12,0.654
57,0,54,0.006
23,0,34,0.009
19,1,46,0.012
32,0,26,0.025
71,8,27,0.342
64,0,98,0.012
34,0,69,0.003
47,0,90,0.002
29,4,68,0
59,1,66,0.032
50,0,79,0.012
5,0,38,0.012
31,2,95,0.019
39,0,47,0.009
20,0,73,0.007
80,10,19,0.109
24,9,22,0.091
46,0,55,0.005
18,5,89,0.019
27,1,90,0
19,8,72,0.074
4,2,12,0.03
12,0,86,0.008
12,1,57,0.006
45,0,37,0.016
73,7,56,0.047
77,1,100,0.017
70,0,87,0.011
6,1,49,0.012
17,0,18,0.054
60,1,77,0.004
5,0,63,0.006
13,1,72,0.016
12,1,85,0.005
4,0,30,0.033
45,1,26,0.01
38,0,42,0.01
25,1,81,0.032
77,2,43,0.059
61,0,56,0.004
56,0,40,0.015
5,0,93,0.007
13,1,11,0.097
34,7,51,0.134
13,0,88,0.001
45,8,75,0.08
5,1,49,0.042
47,4,40,0.063
47,9,97,0.025
62,7,29,0.003
70,0,86,0.003
45,5,16,0.096
33,0,19,0.006
71,5,64,0.015
67,9,29,0.08
24,0,78,0.007
49,0,91,0
44,2,43,0.001
40,0,50,0.004
75,1,60,0.006
48,3,109,0.038
59,8,14,0.443
71,4,25,0.068
36,0,75,0.002
75,1,31,0.018
55,1,90,0.001
71,3,96,0.047
15,5,79,0.014
76,4,80,0.012
65,1,73,0
41,4,86,0.006
25,0,30,0.003
24,4,61,0.016
42,0,17,0.051
54,0,103,0.008
37,0,16,0.007
21,0,64,0.007
29,5,109,0.004
31,2,65,0.022
48,0,53,0.003
3,1,27,0.026
58,5,44,0.001
11,0,52,0.017
80,7,76,0.012
47,6,92,0.046
42,0,95,0.002
31,7,12,0.875
41,0,52,0.011
14,2,30,0.033
55,6,40,0.174
41,2,63,0.063
68,1,71,0.001
66,0,58,0.015
48,0,105,0.002
71,5,23,0.104
50,0,80,0.008
15,0,70,0.005
53,0,13,0.004
8,3,11,0.138
40,0,20,0.025
52,10,38,0.1
11,1,88,0.003
43,3,57,0.009
14,6,40,0.156
34,1,24,0.004
64,1,108,0.015
17,0,88,0.001
23,6,109,0.002
60,1,102,0.002
60,6,103,0.004
73,0,54,0.003
19,1,73,0.028
45,1,14,0.004
20,5,59,0.065
33,1,50,0.028
3,1,78,0.021
46,2,106,0.023
38,0,85,0.012
23,0,45,0.005
35,3,22,0.017
69,5,106,0.017
68,0,14,0.018
54,0,43,0.003
20,1,58,0.006
26,0,97,0.011
3,4,77,0.031
55,4,35,0.069
4,0,84,0.008
49,0,13,0.048
52,0,103,0.004
32,10,19,0.424
54,0,41,0.029
49,1,59,0.019
72,5,43,0.018
70,0,104,0.002
23,2,41,0.059
49,0,45,0.005
73,4,49,0.084
79,0,25,0.01
4,1,74,0.018
33,1,22,0.051
8,1,26,0.03
13,5,17,0.097
77,3,66,0.038
43,8,101,0.053
65,1,105,0.007
64,6,91,0.043
56,2,100,0.027
7,5,46,0.059
17,0,34,0.015
15,0,98,0.007
27,1,85,0.002
34,0,81,0.006
47,0,79,0
32,0,21,0.032
75,3,60,0.003
35,1,40,0.027
15,2,42,0.05
73,5,77,0.01
0,2,52,0.049
70,0,56,0.02
45,1,25,0.007
49,3,59,0.02
40,2,38,0.04
67,0,87,0.001
14,4,26,0.084
26,1,78,0.012
73,1,59,0.018
35,0,47,0.012
55,5,75,0.098
9,0,74,0.001
19,0,25,0.025
21,0,15,0.055
49,2,14,0.005
42,0,28,0.006
45,1,32,0.003
49,0,23,0.01
76,0,22,0.002
75,0,41,0.011
29,6,15,0.297
6,10,77,0.029
65,1,105,0.002
28,0,21,0.014
70,1,89,0.002
22,5,70,0.024
37,1,81,0.012
0,3,59,0.014
19,0,31,0.013
70,4,58,0.101
69,0,40,0.007
65,0,48,0.013
71,2,52,0.072
38,0,66,0.001
61,6,79,0.073
4,0,78,0.011
39,2,100,0.015
32,1,31,0.023
66,0,74,0.004
21,0,45,0.022
2,1,26,0.002
0,0,40,0.007
36,2,75,0.049
62,3,101,0.022
38,1,95,0.013
17,8,16,0.367
49,6,82,0.013
8,1,26,0.104
32,0,11,0.007
9,4,65,0.003
6,2,67,0.029
42,0,102,0.009
17,0,38,0.011
69,1,69,0.015
63,0,55,0.017
27,2,87,0.018
53,6,48,0.026
11,4,51,0.082
13,1,71,0.01
78,1,71,0.012
54,2,84,0.02
72,1,76,0.027
50,0,103,0
55,0,31,0.016
24,1,40,0.007
25,0,58,0.008
70,1,96,0.007
8,1,41,0.029
45,2,68,0.005
16,0,49,0.01
67,0,88,0.007
11,0,31,0.011
76,8,17,0.109
14,0,85,0.016
40,0,35,0.001
42,0,47,0.003
30,3,34,0.097
4,1,107,0.005
41,3,69,0
3,1,46,0.012
46,7,63,0.088
37,0,90,0.01
56,3,45,0.014
71,3,42,0.05
28,0,50,0.019
9,3,13,0.065
65,2,79,0.01
18,7,70,0.011
7,0,103,0
76,0,61,0
45,0,65,0.006
14,0,62,0.002
45,0,100,0.004
37,5,34,0.052
8,0,16,0.024
58,0,98,0.005
45,0,38,0.018
72,8,42,0.028
50,2,102,0.013
0,0,34,0
63,0,71,0.011
64,2,46,0.042
31,2,77,0.009
37,0,77,0.006
4,0,69,0.014
60,0,22,0.001
61,0,40,0.008
8,0,49,0.008
5,9,84,0.062
66,9,46,0.211
32,0,23,0.014
66,3,37,0.09
59,5,68,0.056
1,3,33,0.112
14,0,80,0.006
36,0,21,0.024
73,5,36,0.011
25,1,56,0.001
75,0,82,0.002
46,1,108,0.018
61,0,53,0.011
74,5,43,0.018
15,0,76,0.002
12,1,93,0.004
11,1,47,0.012
69,1,107,0.003
57,2,81,0.018
2,0,91,0.003
16,0,20,0.03
60,5,57,0.052
34,0,19,0.017
7,6,13,0.199
66,4,73,0.062
20,0,68,0
42,0,77,0.003
19,0,30,0.026
42,0,25,0.052
6,1,56,0.003
22,6,42,0.053
26,0,61,0.011
74,4,90,0.004
9,0,108,0.002
47,5,54,0.067
8,4,55,0.021
38,2,38,0.01
13,2,15,0.088
18,1,92,0.022
31,1,34,0.016
27,1,26,0.008
27,0,94,0.008
42,3,16,0.002
74,7,77,0.123
41,0,16,0.004
21,1,104,0.007
13,0,35,0.013
40,4,35,0.04
18,0,73,0.001
1,4,85,0.014
18,5,26,0.096
69,0,91,0.001
44,9,18,0.529
48,1,15,0.024
23,0,110,0.005
30,2,54,0.008
54,1,67,0.008
18,0,59,0.011
65,0,47,0.013
22,3,47,0.005
75,1,105,0.011
3,7,25,0.368
10,2,44,0.017
26,3,73,0.002
23,0,23,0.024
22,0,88,0.002
42,0,74,0.008
9,0,80,0.001
45,8,84,0.012
64,2,31,0.012
32,0,35,0.008
36,0,55,0.006
55,0,93,0.002
6,3,57,0.022
47,2,77,0.029
64,1,103,0.01
78,1,105,0.014
60,0,30,0.006
22,0,20,0.011
66,9,99,0.017
19,1,28,0.095
25,1,90,0.001
74,0,97,0.007
65,1,46,0.018
62,0,67,0.012
4,0,30,0.012
77,1,106,0.007
70,3,68,0.057
13,0,98,0.01
70,0,73,0.001
62,0,21,0.028
49,4,74,0.013
13,0,30,0.009
59,4,79,0.019
50,2,55,0.059
61,0,25,0.001
26,7,24,0.044
25,1,34,0.043
18,1,51,0.02
19,0,70,0.014
50,3,14,0.029
72,2,72,0.023
11,0,55,0.017
55,2,28,0.043
17,1,66,0.007
53,3,39,0.009
14,1,43,0.012
32,9,78,0.011
35,3,51,0.033
34,0,82,0.003
31,10,94,0.036
0,9,43,0.035
4,0,40,0.021
64,0,109,0.002
51,0,80,0.004
68,1,102,0.022
33,5,69,0.002
30,0,75,0.001
71,9,20,0.089
27,0,43,0.024
44,1,74,0.001
52,1,108,0.002
28,8,42,0.021
41,3,26,0.177
40,6,108,0.026
49,0,28,0.037
71,2,67,0.014
48,1,98,0.007
19,4,41,0.052
42,7,104,0.018
55,0,64,0.004
50,1,102,0.016
71,0,103,0.007
31,3,89,0.051
73,4,75,0.029
67,1,64,0.009
29,0,84,0.002
58,0,63,0.008
52,0,31,0.029
24,3,89,0.003
62,0,14,0.006
22,1,22,0.005
45,2,57,0.031
58,1,70,0.015
1,5,13,0.218
25,0,80,0.004
77,0,32,0.016
42,0,59,0.013
19,7,30,0.006
18,0,21,0.004
34,0,96,0.009
26,1,42,0.013
32,0,76,0.008
22,5,89,0.028
25,0,76,0.006
26,2,87,0.024
63,1,24,0.085
50,1,98,0.014
55,3,84,0.022
35,0,59,0.01
53,0,85,0.005
70,1,97,0.003
22,6,41,0.073
20,2,82,0.009
26,4,37,0.058
19,1,76,0.014
79,1,30,0.011
56,4,17,0.045
61,1,64,0.004
66,1,20,0.041
74,0,50,0.012
36,0,41,0.013
23,1,80,0.013
37,1,19,0.03
21,6,56,0.039
75,0,91,0.001
13,1,28,0.006
21,0,17,0.014
47,1,55,0.017
45,7,71,0.077
15,0,71,0.012
24,0,95,0.003
60,8,82,0.061
58,5,54,0.071
31,2,49,0.031
18,0,27,0.011
38,1,56,0.011
20,1,107,0.011
25,4,47,0.088
2,0,28,0.028
73,1,38,0.01
67,2,65,0.019
51,4,44,0.026
52,0,51,0
3,0,33,0.026
4,0,48,0.006
29,0,19,0.029
36,0,88,0.01
5,0,107,0.001
23,1,35,0.035
46,4,84,0.006
45,1,104,0.022
68,1,24,0.061
28,2,88,0.01
4,0,103,0.01
33,0,108,0.001
59,0,86,0.009
39,1,66,0.032
5,0,98,0.001
74,7,88,0.088
53,6,40,0.058
29,0,49,0.012
30,3,24,0.168
61,6,33,0.094
49,0,103,0.003
9,0,98,0.011
11,0,96,0.006
43,0,97,0.002
7,4,89,0.005
58,1,48,0.037
11,0,37,0.006
50,9,99,0.007
56,0,95,0.004
1,0,68,0.002
7,0,27,0.03
61,1,103,0.012
7,9,34,0.1
78,7,51,0.032
8,2,39,0.076
25,1,37,0.003
57,6,21,0.028
13,5,80,0.001
40,3,105,0.039
78,0,93,0.007
34,0,46,0.028
30,2,59,0.018
42,4,35,0.083
60,3,92,0.014
73,1,76,0.006
7,3,98,0.011
48,2,90,0.016
43,0,66,0.011
61,0,43,0.007
71,5,85,0.016
64,2,93,0.023
11,0,14,0.018
34,3,57,0.048
33,1,56,0.016
61,9,68,0.031
33,4,26,0.119
63,2,86,0.009
59,0,84,0.004
7,1,102,0.019
17,1,101,0.002
22,5,108,0.006
5,1,53,0.001
80,0,23,0.004
68,0,110,0.001
20,0,36,0.024
39,1,81,0.023
46,9,38,0.016
57,0,56,0.002
64,0,79,0.006
26,1,81,0.003
80,0,22,0.01
20,1,14,0.042
9,0,66,0.013
20,1,86,0
64,0,102,0.003
64,0,25,0.012
76,2,11,0.088
14,5,12,0.07
33,1,52,0.037
46,0,106,0.002
11,3,31,0.163
12,5,94,0.002
19,8,52,0.048
79,0,40,0.016
39,0,82,0.008
36,0,13,0.011
58,0,96,0.009
66,4,105,0.025
68,0,15,0.014
69,0,48,0.009
29,0,35,0
52,3,83,0.006
78,0,51,0.008
44,0,16,0.014
19,0,44,0.003
70,4,28,0.017
76,0,100,0.003
71,1,43,0.009
75,0,28,0.02
2,1,108,0.022
79,0,102,0.003
1,0,45,0.011
72,2,50,0.019
15,0,17,0.002
21,1,102,0.006
38,1,106,0.009
44,1,58,0.018
66,1,106,0.015
64,4,109,0.02
31,8,84,0.02
52,1,57,0.015
70,1,97,0.02
52,0,42,0.013
69,0,86,0.005
20,3,91,0.034
78,1,26,0.067
25,0,105,0.006
31,6,58,0.022
47,0,15,0.022
18,0,21,0.011
59,3,95,0.003
76,1,90,0
62,8,107,0.015
53,0,104,0.006
10,5,48,0.014
69,0,13,0.047
41,0,47,0.013
45,0,68,0.004
24,0,20,0.017
24,7,24,0.082
45,0,78,0.003
37,0,18,0.004
47,5,94,0.022
56,2,55,0.009
35,1,83,0.022
6,0,72,0.016
47,0,33,0.004
20,1,42,0.025
21,0,52,0.011
80,0,19,0.029
29,8,77,0.016
70,0,50,0.014
1,0,96,0.003
73,3,37,0.1
38,1,69,0.019
36,0,15,0.038
66,1,62,0.025
2,0,45,0.006
39,1,98,0.006
59,1,28,0.052
13,1,66,0.034
50,4,68,0.072
16,0,18,0.056
23,2,78,0.011
25,0,101,0.011
34,1,12,0.052
29,0,87,0.005
47,5,81,0.023
49,2,32,0.016
35,1,63,0.006
72,2,16,0.042
51,0,104,0.007
54,2,72,0.015
19,7,93,0.077
23,0,68,0.007
73,1,83,0.005
4,0,107,0.006
31,1,74,0
29,0,68,0.005
34,7,40,0.199
30,3,61,0.089
62,0,50,0.002
26,4,88,0.035
27,0,69,0.014
74,2,73,0.001
29,0,89,0.005
21,1,43,0.003
47,9,66,0.15
64,2,55,0.015
44,0,15,0.032
46,1,21,0.092
71,0,105,0.003
20,1,94,0.021
43,1,17,0.036
13,0,108,0
42,3,92,0.034
66,2,104,0.007
68,0,42,0.007
2,2,31,0.034
42,0,75,0.004
3,0,85,0.005
58,0,70,0.001
24,10,58,0.212
28,10,20,0.038
74,0,23,0.004
6,3,75,0.019
70,0,16,0.029
17,1,19,0.093
11,1,58,0.007
49,0,82,0.011
44,1,101,0.023
60,5,105,0.017
48,1,34,0.01
20,0,105,0.008
78,3,90,0.013
34,0,15,0.071
54,6,19,0.139
23,1,60,0.017
55,1,25,0.085
43,1,67,0
71,5,82,0.032
26,0,84,0
73,6,104,0.03
49,0,81,0.006
79,0,106,0.011
48,2,82,0.004
6,1,12,0.031
38,0,77,0.017
52,6,70,0.093
63,1,60,0.015
22,4,18,0.203
37,3,85,0.019
28,3,92,0.016
1,0,97,0.004
72,0,54,0.006
44,0,45,0.011
59,1,14,0.14
67,1,34,0.016
38,2,89,0.014
3,6,53,0.046
62,6,52,0.007
65,1,101,0.005
3,0,20,0.024
65,1,60,0.038
2,0,37,0.025
54,0,87,0.012
68,0,55,0.021
9,2,67,0.03
29,0,37,0.008
45,3,60,0.043
51,5,16,0.097
7,1,77,0.016
63,2,62,0.032
22,4,64,0.043
71,0,61,0.006
59,3,16,0.078
34,6,65,0.055
31,1,73,0.001
49,8,58,0.075
28,2,22,0.041
15,7,93,0.011
34,3,36,0.026
39,2,16,0.12
30,1,15,0.034
56,0,24,0.015
71,0,110,0.005
62,1,86,0.02
0,1,89,0.008
18,6,64,0.019
51,4,28,0.02
30,0,93,0.003
43,0,42,0.023
21,3,103,0.001
67,3,50,0.026
38,0,13,0.005
31,0,88,0.004
57,1,100,0.001
27,0,56,0.014
2,1,50,0.027
3,1,109,0.002
16,0,106,0.006
4,2,93,0.001
42,0,29,0.02
10,1,85,0.002
55,0,83,0.004
55,7,17,0.34
8,0,22,0.018
4,1,82,0.008
53,1,38,0.039
21,1,101,0.002
9,1,21,0.028
70,1,32,0.043
71,1,102,0.01
38,7,103,0.003
80,0,60,0.008
74,0,51,0.02
8,0,73,0.002
63,0,34,0
31,0,26,0.006
14,5,15,0.047
75,2,96,0.013
37,0,49,0.023
0,0,73,0.003
21,1,52,0.02
45,0,109,0.004
58,1,44,0.011
11,0,27,0.027
62,1,57,0.038
55,1,85,0.024
59,1,36,0.041
33,5,109,0.071
24,1,54,0.017
12,0,44,0.016
63,0,101,0.008
31,2,11,0.044
72,1,20,0.012
7,0,98,0.002
64,0,83,0.012
56,0,84,0.01
40,5,93,0.057
33,9,71,0.03
79,0,104,0.005
53,1,54,0.005
72,0,46,0.017
29,7,44,0.048
58,0,38,0.01
63,1,81,0.002
79,0,96,0.003
62,8,104,0.007
67,0,105,0.003
11,0,62,0.007
74,6,87,0.026
4,4,38,0.078
21,1,108,0.006
72,2,68,0.018
39,0,83,0.004
42,1,72,0.026
0,0,31,0.03
76,2,87,0.045
45,0,42,0.001
75,1,17,0.107
18,0,60,0.004
47,0,94,0.004
56,1,13,0.004
3,0,72,0.008
54,0,93,0.002
11,0,109,0.005
57,0,41,0.004
34,0,93,0.002
63,0,110,0.006
12,0,98,0.005
61,0,102,0.005
57,2,109,0.006
8,1,84,0.005
24,2,66,0.009
46,6,107,0.009
39,3,15,0.143
52,1,20,0.014
24,0,18,0.015
11,0,87,0.004
34,0,22,0.024
18,0,27,0.004
10,5,30,0.097
14,0,68,0.002
39,6,78,0.062
24,1,77,0.004
63,6,56,0.059
15,0,99,0.001
21,0,36,0.004
47,5,43,0.083
14,0,45,0.009
45,1,67,0.003
8,0,50,0.018
4,1,87,0.01
79,0,98,0.009
78,2,49,0.043
54,3,74,0.009
37,6,96,0.009
40,0,24,0.012
9,1,108,0
1,9,84,0.076
20,1,33,0.041
53,0,30,0
53,0,54,0.016
17,1,32,0.017
19,1,18,0.074
31,1,24,0.01
57,10,105,0.026
43,2,42,0.094
61,9,11,0.158
73,1,73,0.023
32,6,50,0.144
75,3,70,0.015
23,5,42,0.124
64,0,17,0.019
49,1,109,0.006
21,1,13,0.052
54,1,54,0.004
72,3,76,0.004
18,3,46,0.031
53,0,62,0.009
45,0,36,0.006
44,1,96,0.001
22,0,82,0.001
19,0,105,0.002
36,0,12,0.082
73,3,80,0.001
48,0,71,0
80,0,24,0.012
60,4,20,0.255
12,0,99,0.012
26,0,69,0.015
33,8,88,0.073
32,0,90,0.007
64,0,106,0.002
41,0,38,0.001
16,0,89,0.002
42,0,82,0.004
16,1,99,0
39,0,91,0.002
50,0,88,0.009
29,3,101,0.002
74,1,58,0.034
35,3,67,0.02
12,10,56,0.167
50,4,105,0.007
64,3,18,0.043
29,8,83,0.032
41,0,41,0.002
41,9,98,0.104
51,0,26,0.004
14,0,27,0.01
25,2,95,0.003
43,0,53,0.014
55,10,52,0.141
43,0,46,0.017
37,3,48,0.006
57,3,55,0.05
49,0,18,0.01
53,0,23,0.013
53,6,42,0.123
69,0,17,0.005
60,2,91,0.008
66,8,62,0.11
26,0,32,0.023
23,5,39,0.041
22,3,104,0.025
28,4,96,0.005
49,9,83,0.043
62,5,17,0.016
58,1,31,0.008
55,6,23,0.269
54,1,24,0.026
61,0,90,0.005
20,4,72,0.03
60,0,65,0.005
62,0,38,0.002
1,0,86,0.002
37,0,100,0.005
65,0,22,0.002
7,0,99,0.002
8,0,60,0.01
9,3,69,0.051
25,1,19,0.016
51,7,90,0.018
77,6,68,0.037
9,0,19,0.005
16,0,57,0.004
53,0,54,0.001
40,0,43,0.016
28,3,28,0.039
17,2,23,0.117
64,7,37,0.216
73,2,35,0.052
27,0,101,0.001
42,0,94,0.001
24,0,13,0.003
16,2,85,0.007
44,1,107,0.008
27,4,41,0.098
68,2,84,0.014
49,0,44,0.006
41,1,44,0.006
59,6,39,0.155
22,1,26,0.053
55,0,19,0.033
48,1,34,0.018
41,2,46,0.015
66,0,52,0.006
14,0,43,0.016
74,1,82,0.004
52,1,73,0.006
34,1,34,0.006
29,0,71,0.005
17,5,78,0.021
55,1,83,0.002
68,1,87,0.021
42,0,73,0.004
62,4,71,0
22,0,94,0.008
22,1,47,0.013
45,2,67,0.006
21,2,45,0.043
75,3,67,0.065
58,4,57,0.086
73,0,59,0.007
4,3,32,0.084
78,0,26,0.003
32,0,63,0.012
66,1,28,0.01
23,3,19,0.137
58,0,109,0.009
71,0,45,0.014
64,0,82,0.004
48,5,52,0.105
27,2,18,0.11
7,0,77,0.004
30,0,73,0.006
33,0,90,0.001
2,0,26,0.04
19,4,58,0.034
57,0,71,0.014
44,1,32,0.022
3,0,40,0.005
37,3,42,0.06
65,2,92,0.009
70,2,101,0
47,6,86,0.018
4,5,89,0.005
71,0,15,0.045
17,0,41,0.012
46,1,31,0.02
29,3,48,0.045
44,0,23,0.022
7,1,100,0.01
5,2,75,0.003
73,0,59,0.002
11,1,98,0.014
7,3,48,0.066
31,9,74,0.052
42,6,50,0.045
42,1,95,0.027
24,1,54,0.007
23,1,101,0.006
4,0,10,0.025
66,0,88,0.006
18,2,64,0.038
31,0,107,0.001
48,0,95,0.002
49,4,110,0.018
22,6,28,0.012
57,0,102,0.004
10,4,84,0.011
48,0,68,0.003
4,3,57,0.017
29,0,18,0.023
66,9,90,0.019
3,1,76,0.002
57,3,99,0.04
65,1,64,0.001
53,0,17,0.045
57,0,58,0.014
18,0,56,0.016
9,9,69,0.008
39,0,92,0.004
58,2,41,0
16,0,102,0.003
3,0,108,0.006
51,3,101,0.024
44,0,24,0.02
65,3,34,0.066
15,4,52,0.029
64,0,24,0.01
43,9,99,0.017
53,3,77,0.004
46,0,51,0.009
54,1,25,0.013
1,1,24,0.05
30,8,65,0.045
73,5,97,0.024
49,6,80,0.093
18,0,81,0.003
47,2,70,0.024
72,1,57,0.005
10,4,54,0.078
60,0,92,0.015
64,1,46,0.027
79,0,73,0.016
60,0,63,0.007
19,1,32,0.042
27,1,110,0.016
1,3,101,0.019
14,0,89,0.007
10,3,89,0.01
50,0,30,0.004
49,3,28,0.089
38,0,93,0.003
49,2,39,0.033
65,1,79,0.014
9,0,105,0.006
38,8,92,0.073
29,1,72,0.005
24,0,46,0.004
72,1,28,0.033
32,7,76,0.105
20,8,72,0.009
60,0,56,0.011
63,1,56,0.016
60,2,55,0.067
59,0,73,0.006
0,7,12,0.551
6,1,74,0.016
35,0,66,0.014
5,1,85,0.02
13,0,94,0.002
66,8,95,0.006
60,3,11,0.147
21,1,16,0.032
31,2,47,0.021
47,7,108,0.075
19,0,91,0.001
48,0,41,0.011
20,0,22,0.056
11,10,14,0.126
65,2,105,0.004
28,0,27,0.005
16,2,68,0.023
36,1,17,0.015
32,1,77,0.025
4,0,34,0.007
20,7,32,0.23
61,2,84,0.004
33,0,25,0.021
73,7,103,0.006
27,0,40,0.028
66,0,44,0.023
22,2,15,0.161
33,9,37,0.06
5,2,102,0.009
35,3,99,0.009
41,2,85,0.009
41,0,35,0.004
11,0,84,0.01
24,0,76,0.008
74,0,61,0.004
4,7,105,0.017
1,2,49,0.022
72,0,18,0.023
24,0,38,0.014
72,4,45,0.025
79,3,62,0.017
45,0,22,0.024
60,8,46,0.187
57,3,98,0.01
42,0,68,0.003
61,0,97,0.008
58,1,92,0.009
10,0,51,0.01
40,1,38,0.025
12,0,71,0.013
56,0,61,0.014
38,0,109,0.005
16,2,57,0.012
23,2,14,0.206
15,0,63,0.013
74,0,57,0.01
66,2,89,0.007
44,1,63,0.003
36,0,99,0.013
26,8,107,0.015
79,0,91,0.007
36,5,72,0.083
13,3,39,0.084
1,0,77,0.002
12,0,102,0
